Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C108",0402,3,100n,C1525
"C103, C105, C201, C204, C208",CP_EIA-3216-18_Kemet-A,5,10u,C7171
"C104, C106, C202, C205, C206, C209",0603,6,100n,C14663
"C107, C203",0603,2,10u,C96446
C109,0402,1,1u,C52923
C207,0805,1,100n,C49678
"D101, D106",0805,2,Red,C84256
D102,0805,1,Green,C2297
"D103, D203",D_SOD-123F,2,SMF5.0A,C19077497
"D104, D105",Texas_DPY0002A_0.6x1mm_P0.65mm,2,TPD1E05U06,C436349
D201,D_SOD-123F,1,1N4007,C18199088
"D202, D204",D_SOD-123,2,1N4148W,C7420318
F101,Littelfuse_05200101Z,1,5x20 250mA,C142924
J101,TerminalBlock_WAGO_236-408_1x08_P5.00mm_45Degree,1,Screw_Terminal_01x08,C3820284
J102,Jack_3.5mm_PJ320D_Horizontal,1,AudioJack3,C431535
J103,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
J104,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C41376037
K201,Relay_SPDT_Omron-G5Q-1,1,G5Q-14,C397241
"K202, K203",Relay_SPDT_Omron_G5V-1,2,G5V-1,C28695
L101,0603,1,Ferrite Bead,C14709
PS101,Converter_ACDC_MeanWell_IRM-10-xx_THT,1,IRM-10-5,C2857903
"Q201, Q202, Q203",SOT-23,3,SS8050,C2150
"R101, R102, R110",0402,3,1.2k,C25862
"R103, R106, R107",0402,3,10k,C25744
"R104, R105",0402,2,5.1k,C25905
"R108, R109",0402,2,22,C25092
"R202, R204",0603,2,100k,C25803
"R203, R209, R215",0402,3,330,C25104
"R205, R210, R216",0402,3,100k,C25741
"R206, R207, R208, R211, R212",0805,5,200k,C17539
R213,0805,1,1k,C17513
R214,0805,1,470,C17710
"RV101, RV201",RV_Disc_D12mm_W5.4mm_P7.5mm,2,275VAC,C8760
"SW101, SW102",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,C318884
U101,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U102,SOT-666,1,USBLC6-2P6,C15999
U103,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02U,C2926676
U201,SSOP-10_3.9x4.9mm_P1.00mm,1,BL0942,C2837510
